Sediment,Nom_Ni,Treat,TOT_Ni,SEMAVSfOC,SEMAVSfOC2,Count,RGR,Tissue_Ni
Raisin,0,S,6.1,-33,1,5,0.101,3.76
Raisin,0,S,6.1,-33,1,10,0.095,3.76
Raisin,0,S,6.1,-33,1,7,0.098,2.62
Raisin,0,S,6.1,-33,1,9,0.091,4.04
Raisin,0,S,6.1,-33,1,6,0.098,4.13
Raisin,0,F,8.3,-42,1,8,0.088,3.47
Raisin,0,F,8.3,-42,1,,0.104,4.04
Raisin,0,F,8.3,-42,1,10,0.101,3.04
Raisin,0,F,8.3,-42,1,9,0.106,3.23
Raisin,0,F,8.3,-42,1,9,0.102,3.46
Raisin,200,S,202,-17.7,1,7,0.105,6.54
Raisin,200,S,202,-17.7,1,8,0.098,7.79
Raisin,200,S,202,-17.7,1,8,0.098,9.88
Raisin,200,S,202,-17.7,1,7,0.09,6.25
Raisin,200,S,202,-17.7,1,5,0.089,6.26
Raisin,200,F,185,-11,1,4,0.111,6.26
Raisin,200,F,185,-11,1,9,0.104,8.21
Raisin,200,F,185,-11,1,7,0.111,5.05
Raisin,200,F,185,-11,1,10,0.107,4.8
Raisin,200,F,185,-11,1,9,0.103,4.51
Raisin,500,S,496,-0.2,1,5,0.099,12.55
Raisin,500,S,496,-0.2,1,3,0.104,10.15
Raisin,500,S,496,-0.2,1,9,0.098,13.25
Raisin,500,S,496,-0.2,1,9,0.084,13.03
Raisin,500,S,496,-0.2,1,9,0.103,12.78
Raisin,500,F,445,5.7,5.7,8,0.075,9.65
Raisin,500,F,445,5.7,5.7,9,0.071,11.37
Raisin,500,F,445,5.7,5.7,4,0.087,21.04
Raisin,500,F,445,5.7,5.7,10,0.091,13.97
Raisin,500,F,445,5.7,5.7,2,0.099,24.05
Raisin,1200,S,1076,49.3,49.3,5,0.077,20.56
Raisin,1200,S,1076,49.3,49.3,8,0.062,33.94
Raisin,1200,S,1076,49.3,49.3,6,0.061,26.85
Raisin,1200,S,1076,49.3,49.3,5,0.07,19.02
Raisin,1200,S,1076,49.3,49.3,3,0.031,29.55
Raisin,1200,F,1071,42.8,42.8,4,0.052,41.59
Raisin,1200,F,1071,42.8,42.8,2,0.037,29.22
Raisin,1200,F,1071,42.8,42.8,4,0.059,27
Raisin,1200,F,1071,42.8,42.8,0,,
Raisin,1200,F,1071,42.8,42.8,4,0.064,18.01
Raisin,2800,S,2743,94.7,94.7,3,0.01,96.03
Raisin,2800,S,2743,94.7,94.7,0,,
Raisin,2800,S,2743,94.7,94.7,1,0.027,33.38
Raisin,2800,S,2743,94.7,94.7,1,0.037,41.92
Raisin,2800,S,2743,94.7,94.7,4,0.034,79.58
Raisin,2800,F,2628,129.1,129.1,0,,
Raisin,2800,F,2628,129.1,129.1,1,0.041,56.19
Raisin,2800,F,2628,129.1,129.1,2,0.028,52.12
Raisin,2800,F,2628,129.1,129.1,2,0.05,42.83
Raisin,2800,F,2628,129.1,129.1,0,,
Burn,0,S,57,3.3,3.3,8,0.093,4.76
Burn,0,S,57,3.3,3.3,10,0.086,4.63
Burn,0,S,57,3.3,3.3,10,0.095,3.63
Burn,0,S,57,3.3,3.3,10,0.092,4.39
Burn,0,S,57,3.3,3.3,9,0.09,4.38
Burn,0,F,53,3.4,3.4,9,0.094,4.47
Burn,0,F,53,3.4,3.4,10,0.091,4.32
Burn,0,F,53,3.4,3.4,9,0.094,3.9
Burn,0,F,53,3.4,3.4,9,0.099,4.73
Burn,0,F,53,3.4,3.4,3,0.104,5.1
Burn,100,S,152,17,17,10,0.085,5.71
Burn,100,S,152,17,17,9,0.099,4.95
Burn,100,S,152,17,17,10,0.098,5.75
Burn,100,S,152,17,17,10,0.09,6.96
Burn,100,S,152,17,17,9,0.095,5.37
Burn,100,F,130,17.7,17.7,3,0.119,4.11
Burn,100,F,130,17.7,17.7,10,0.092,4.89
Burn,100,F,130,17.7,17.7,7,0.104,4.42
Burn,100,F,130,17.7,17.7,9,0.087,4.72
Burn,100,F,130,17.7,17.7,8,0.098,5.33
Burn,240,S,253,33.6,33.6,5,0.108,5.31
Burn,240,S,253,33.6,33.6,8,0.103,5.38
Burn,240,S,253,33.6,33.6,8,0.094,6.41
Burn,240,S,253,33.6,33.6,10,0.09,7.38
Burn,240,S,253,33.6,33.6,9,0.102,5.14
Burn,240,F,241,36.9,36.9,10,0.092,5.99
Burn,240,F,241,36.9,36.9,6,0.105,5.33
Burn,240,F,241,36.9,36.9,6,0.105,5.5
Burn,240,F,241,36.9,36.9,10,0.09,7.45
Burn,240,F,241,36.9,36.9,5,0.102,6.11
Burn,550,S,548,88.3,88.3,8,0.094,11.04
Burn,550,S,548,88.3,88.3,10,0.087,9.55
Burn,550,S,548,88.3,88.3,10,0.093,11.77
Burn,550,S,548,88.3,88.3,6,0.096,8.59
Burn,550,S,548,88.3,88.3,9,0.098,9.08
Burn,550,F,489,83.1,83.1,10,0.092,7.97
Burn,550,F,489,83.1,83.1,9,0.102,8.63
Burn,550,F,489,83.1,83.1,9,0.094,8.82
Burn,550,F,489,83.1,83.1,7,0.103,9.02
Burn,550,F,489,83.1,83.1,7,0.095,6.66
Burn,1300,S,1225,199.3,199.3,9,0.07,14.41
Burn,1300,S,1225,199.3,199.3,2,,
Burn,1300,S,1225,199.3,199.3,5,0.077,13.82
Burn,1300,S,1225,199.3,199.3,4,0.073,22.14
Burn,1300,S,1225,199.3,199.3,6,0.08,22.04
Burn,1300,F,1120,207.5,207.5,10,0.085,20.64
Burn,1300,F,1120,207.5,207.5,8,0.083,25.09
Burn,1300,F,1120,207.5,207.5,7,0.082,17.64
Burn,1300,F,1120,207.5,207.5,4,,
Burn,1300,F,1120,207.5,207.5,10,0.079,18.78