Sediment,Nom_Ni,Treat,Day,Mean_TOT_Ni,Dis_Ni,Ni_flux
Burn,0,S,1,57,0.7,0.032
Burn,100,S,1,150,1.5,0.068
Burn,240,S,1,250,2,0.095
Burn,550,S,1,550,6.3,0.292
Burn,1300,S,1,1200,19.1,0.893
Burn,0,F,1,53,0.5,0.023
Burn,100,F,1,130,1.4,0.065
Burn,240,F,1,240,2.6,0.123
Burn,550,F,1,490,6.9,0.322
Burn,1300,F,1,1100,29.1,1.357
Burn,0,S,7,57,0.5,0.022
Burn,100,S,7,150,1.1,0.049
Burn,240,S,7,250,1.8,0.083
Burn,550,S,7,550,3.8,0.179
Burn,1300,S,7,1200,11.6,0.544
Burn,0,F,7,53,0.4,0.02
Burn,100,F,7,130,0.7,0.035
Burn,240,F,7,240,1.4,0.064
Burn,550,F,7,490,3.8,0.179
Burn,1300,F,7,1100,8.7,0.405
Burn,0,S,35,57,0.5,0.023
Burn,100,S,35,150,1,0.046
Burn,240,S,35,250,1.4,0.067
Burn,550,S,35,550,6.7,0.314
Burn,1300,S,35,1200,10.6,0.497
Burn,0,F,35,53,1.2,0.057
Burn,100,F,35,130,1.4,0.065
Burn,240,F,35,240,3.2,0.149
Burn,550,F,35,490,5.9,0.276
Burn,1300,F,35,1100,11.9,0.554
Raisin,0,S,1,6,0.4,0.019
Raisin,200,S,1,200,3,0.138
Raisin,500,S,1,500,4.1,0.192
Raisin,1200,S,1,1100,35.3,1.647
Raisin,2800,S,1,2700,202,9.427
Raisin,0,F,1,8,0.4,0.017
Raisin,200,F,1,180,2.3,0.105
Raisin,500,F,1,450,9.4,0.436
Raisin,1200,F,1,1100,26.5,1.237
Raisin,2800,F,1,2600,84.9,3.962
Raisin,0,S,7,6,0.4,0.016
Raisin,200,S,7,200,1.3,0.062
Raisin,500,S,7,500,2.7,0.125
Raisin,1200,S,7,1100,12.6,0.588
Raisin,2800,S,7,2700,65.2,3.042
Raisin,0,F,7,8,0.4,0.016
Raisin,200,F,7,180,1.2,0.056
Raisin,500,F,7,450,3.8,0.178
Raisin,1200,F,7,1100,59.4,2.77
Raisin,2800,F,7,2600,157,7.327
Raisin,0,S,35,6,0.4,0.019
Raisin,200,S,35,200,2.3,0.105
Raisin,500,S,35,500,4.2,0.197
Raisin,1200,S,35,1100,18.3,0.855
Raisin,2800,S,35,2700,42.3,1.973
Raisin,0,F,35,8,0.4,0.021
Raisin,200,F,35,180,1.6,0.076
Raisin,500,F,35,450,4.8,0.225
Raisin,1200,F,35,1100,13.6,0.637
Raisin,2800,F,35,2600,30.3,1.415